customer_id,full_name,dob,address,kyc_status,agent_id
1,Miguel West,1961-05-08,"2417 Solis Forks Suite 953
Karenborough, CO 77717",VERIFIED,57
2,Diana Nielsen,2005-07-26,"0910 Julia Mills
Paulbury, RI 20239",PENDING,86
3,Cheryl Johnson,1992-09-03,"38740 Thomas Road Suite 395
Lindafurt, VA 16517",PENDING,55
4,Joseph Garrett,1955-03-18,"180 Steven Plaza
Lake Amanda, MT 59753",VERIFIED,12
5,Mark Fowler,1987-05-26,"75363 Sanchez Unions
Donaldland, UT 11695",VERIFIED,58
6,Christopher Miller,1995-08-09,"2275 Riddle Unions
North Katherinemouth, AS 29449",VERIFIED,41
7,Jennifer Boone,1970-01-05,"286 Ashley Circles Suite 429
West Joseph, VA 84907",VERIFIED,30
8,Jasmine Davis,2005-02-19,"0554 Evans Parkways Suite 643
Hamiltonshire, UT 31980",VERIFIED,9
9,Lawrence Castillo,2005-04-30,"1930 Kimberly Locks
Denisemouth, PW 50669",PENDING,71
10,Hayden King,1993-10-13,"7462 Richard Row
New Kyleborough, CT 41523",VERIFIED,55
11,Timothy Sanchez,1990-10-22,"441 Hernandez Street Suite 492
Mckinneyhaven, OH 41875",PENDING,91
12,Kimberly Gates,1959-04-11,"856 Martinez Spring Apt. 313
Davishaven, GU 30296",VERIFIED,10
13,Andrew Campbell,1994-04-27,"9517 Katherine Stream
Brendaton, VT 81605",PENDING,63
14,Beth Fields,1975-10-06,"358 Mercedes Coves Suite 589
South Amandaport, OK 19710",PENDING,39
15,Christopher Robertson,1959-05-28,"66388 Christopher Locks Apt. 155
Bassstad, WI 59673",VERIFIED,89
16,Daniel Hays,1993-03-19,"USCGC Madden
FPO AE 22849",VERIFIED,26
17,Timothy Thompson,1954-02-28,"3313 Harris Run
New David, IL 92822",VERIFIED,65
18,Sonya Shah,1978-09-29,"7800 Marcus Harbor Suite 398
Lunaside, GU 94439",PENDING,46
19,Douglas Cain,1966-02-09,"57082 Chambers Haven
West Justin, KY 43464",VERIFIED,13
20,George Richards,1976-09-07,"389 Smith Ridges
Johnsonborough, NJ 41686",PENDING,64
21,Wendy Meza,1989-08-29,"53483 Dakota Dale
Ginaburgh, ID 74659",VERIFIED,66
22,Thomas King,1962-06-25,"4727 Hendricks Key
Rebeccahaven, KS 02095",PENDING,52
23,Donna Valenzuela MD,1999-01-16,"88709 Andrea Falls
South Aaron, MA 21150",PENDING,33
24,Blake Trujillo,1969-02-13,"129 Russell Crossroad
Jeffreyshire, CT 60631",VERIFIED,78
25,Emily Hester,1996-03-28,"4697 Perez Radial
South Jonathantown, KS 40908",PENDING,36
26,Nicole Alvarado,1961-01-10,"Unit 2993 Box 7110
DPO AA 30221",VERIFIED,29
27,Tyler Hale,2005-11-04,"001 Simpson Fort
Lake Michaelberg, WI 37187",PENDING,27
28,Amanda Mcclain,1963-03-12,"73221 Jasmine Overpass
Cannonmouth, TN 71212",VERIFIED,32
29,Michael Ward,1976-11-05,"4633 Rivera Summit
West Emily, MI 95387",VERIFIED,1
30,Christopher Reed,1974-02-14,"615 Tiffany Plaza Suite 803
Ryanstad, IL 26612",VERIFIED,52
31,Scott Ford,1986-08-15,"777 Brian Drive
Sierraborough, KY 28729",PENDING,78
32,Carl Mitchell,1969-06-30,"48220 Harrison Forest
West Charles, NM 22766",VERIFIED,87
33,Jessica Wallace,1982-11-18,"01937 Curtis Mews Suite 322
Annport, WI 48394",VERIFIED,7
34,Shannon Porter,1986-09-29,"781 Arnold Land Apt. 021
Lesliemouth, UT 52142",PENDING,31
35,Jennifer Hines,1967-01-01,"2912 John Creek Apt. 245
Ricardoville, VA 29204",PENDING,47
36,Scott Austin,1988-08-24,"412 Sean Field
Smithchester, WI 26777",VERIFIED,46
37,Anthony Mcgee,1988-10-07,"22393 Johnson Corner Suite 777
Michelebury, DE 66812",PENDING,89
38,Elizabeth Gray,1952-11-02,"36787 Paul Radial Apt. 981
Dianechester, AS 66602",PENDING,49
39,Abigail Nelson,1986-01-22,"8694 Davis Plains Suite 261
Teresaview, ME 08340",PENDING,90
40,Kelly Wilkerson,1969-01-08,"12891 Rice Fork Suite 932
New Beth, VT 97814",PENDING,49
41,Yolanda Bright,1980-11-12,"607 Alexander Burgs Apt. 103
Whiteberg, AZ 51222",PENDING,16
42,Tamara Roth,1988-05-02,"926 Kathryn Plains
New Reginaldland, KS 91144",PENDING,66
43,Kent Young,1992-01-31,"102 Schmidt Ramp Suite 822
New Erin, PR 52529",PENDING,93
44,William Garrett,1966-08-26,"12988 Ward Prairie
North Jeremymouth, CO 07142",VERIFIED,98
45,Brian Noble,1984-03-25,"306 Aaron Islands
Brownstad, AZ 09461",PENDING,62
46,Joe Roy,1976-07-24,"079 Stephanie Underpass Suite 632
South Peter, OK 95359",PENDING,27
47,Hector Tucker,1983-07-05,"544 Brian Cliffs Apt. 054
Hancockview, KS 68777",PENDING,27
48,Christopher Mooney,1973-03-16,"0743 Wendy Route Apt. 077
Danielleshire, AR 70287",PENDING,48
49,Peter Chavez,1950-12-17,"270 Billy Crossroad
Shariborough, WY 34952",PENDING,78
50,Emily Martinez,1959-03-06,"24307 Wallace Locks
Zunigaburgh, AS 46672",VERIFIED,16
51,Katherine Jones,1975-10-11,"408 Parker Motorway
Aliciaton, WV 03926",VERIFIED,75
52,Nicole Ford,1967-10-18,"3691 Mary Motorway
East Jonathanchester, SD 40600",VERIFIED,54
53,Barbara Hunt,2007-06-20,"843 Sandra Light Apt. 514
Samuelfort, NY 12694",VERIFIED,91
54,Christopher Miller,1975-05-09,"1134 Shelly Ville
North Johnview, WA 18082",VERIFIED,86
55,Sonya Contreras,2000-07-14,"01517 Rodriguez Oval
Jacobtown, MH 91871",PENDING,15
